name,author,publisher,date,price,rate,comment,url
追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元,8.9,为你，千千万万遍,https://book.douban.com/subject/1770782/
解忧杂货店,[日] 东野圭吾,南海出版公司,2014-5,39.50元,8.5,一碗精心熬制的东野牌鸡汤，拒绝很难,https://book.douban.com/subject/25862578/
小王子,[法] 圣埃克苏佩里,人民文学出版社,2003-8,22.00元,9.0,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
白夜行,[日] 东野圭吾,南海出版公司,2008-9,29.80元,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,https://book.douban.com/subject/3259440/
围城,钱锺书,人民文学出版社,1991-2,19.00,8.9,对于“人艰不拆”四个字最彻底的违抗,https://book.douban.com/subject/1008145/
三体,刘慈欣,重庆出版社,2008-1,23.00,8.8,你我不过都是虫子,https://book.douban.com/subject/2567698/
嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2008-9,28.00,8.9,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/
活着,余华,作家出版社,2012-8-1,20.00元,9.3,生的苦难与伟大,https://book.douban.com/subject/4913064/
挪威的森林,[日] 村上春树,上海译文出版社,2001-2,18.80元,8.0,村上之发轫，多少人的青春启蒙,https://book.douban.com/subject/1046265/
百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.50元,9.2,尼采所谓的永劫复归，一场无始无终的梦魇,https://book.douban.com/subject/6082808/
红楼梦,[清] 曹雪芹 著,人民文学出版社,1996-12,59.70元,9.6,谁解其中味？,https://book.douban.com/subject/1007305/
看见,柴静,广西师范大学出版社,2013-1-1,39.80元,8.8,在这里看见中国,https://book.douban.com/subject/20427187/
平凡的世界（全三部）,路遥,人民文学出版社,2005-1,64.00元,9.0,中国当代城乡生活全景,https://book.douban.com/subject/1200840/
三体Ⅱ,刘慈欣,重庆出版社,2008-5,32.00,9.3,无边的黑暗森林，比第一部更为恢弘壮丽,https://book.douban.com/subject/3066477/
三体Ⅲ,刘慈欣,重庆出版社,2010-11,38.00元,9.2,终章，何去何从,https://book.douban.com/subject/5363767/
不能承受的生命之轻,[捷克] 米兰·昆德拉,上海译文出版社,2003-7,23.00元,8.5,朝向媚俗的一次伟大的进军,https://book.douban.com/subject/1017143/
达·芬奇密码,[美] 丹·布朗,上海人民出版社,2004-2,28.00元,8.2,一切畅销的因素都有了,https://book.douban.com/subject/1040771/
我们仨,杨绛,生活·读书·新知三联书店,2003-7,18.80元,8.7,平淡，坚忍，温情,https://book.douban.com/subject/1023045/
天才在左 疯子在右,高铭,武汉大学出版社,2010-2,29.80元,8.1,简称“疯癫与文明”,https://book.douban.com/subject/4242172/
简爱（英文全本）,[英] 夏洛蒂·勃朗特,世界图书出版公司,2003-11,18.00元,8.5,灰姑娘在十九世纪,https://book.douban.com/subject/1141406/
哈利·波特与魔法石,[英] J. K. 罗琳,人民文学出版社,2000-9,19.50元,9.0,羽加迪姆勒维奥萨！,https://book.douban.com/subject/1041007/
明朝那些事儿（壹）,当年明月,中国友谊出版公司,2006-9,24.80,8.7,历史本就是一件件“事儿”拼成的,https://book.douban.com/subject/1873231/
傲慢与偏见,[英] 奥斯丁,人民文学出版社,1993-7,13.00元,8.8,所有现代言情小说的母体,https://book.douban.com/subject/1083428/
目送,龙应台,生活·读书·新知三联书店,2009-10,39.00元,8.7,不必追,https://book.douban.com/subject/3995526/
恶意,[日] 东野圭吾,南海出版公司,2009-6,18.00,8.4,无缘由的恨，冰冷彻骨,https://book.douban.com/subject/3646172/
